ID,open_month,end_month,window,STATUS
5001711,-3,0,3,Paid
5001712,-18,0,18,Paid
5001713,-21,0,21,No Loan
5001714,-14,0,14,No Loan
5001715,-59,0,59,No Loan
5001717,-21,0,21,Paid
5001718,-38,0,38,No Loan
5001719,-42,0,42,Paid
5001720,-35,0,35,Paid
5001723,-30,0,30,No Loan
5001724,-30,0,30,No Loan
5001725,-7,0,7,No Loan
5001726,-38,0,38,Paid
5001728,0,0,0,Paid
5001729,-6,0,6,Paid
5001730,-60,0,60,Paid
5001731,-10,0,10,No Loan
5001732,-35,0,35,No Loan
5001733,-10,0,10,No Loan
5001734,-2,0,2,Paid
5001735,-23,0,23,Paid
5001736,-23,0,23,Paid
5001737,-21,0,21,Paid
5001738,-43,0,43,Paid
5001739,-57,0,57,Paid
5001742,-46,0,46,Paid
5001743,-40,0,40,No Loan
5001744,-28,0,28,Paid
5001745,-10,0,10,Paid
5001746,-11,0,11,Paid
5001747,-27,0,27,Paid
5001748,-33,0,33,Paid
5001754,-11,0,11,No Loan
5001755,-10,0,10,Paid
5001756,-18,0,18,Paid
5001757,-20,0,20,No Loan
5001758,-46,0,46,Paid
5001759,-19,0,19,No Loan
5001760,-29,0,29,Paid
5001765,-31,0,31,Paid
5001766,-25,0,25,Paid
5001767,-14,0,14,Paid
5001768,-7,0,7,Paid
5001769,-16,0,16,Paid
5001770,-16,0,16,Paid
5001771,-14,0,14,Paid
5001772,-22,0,22,Paid
5001773,-23,0,23,Paid
5001774,-26,0,26,Paid
5001775,-32,0,32,Paid
5001778,-35,0,35,No Loan
5001779,-45,0,45,No Loan
5001780,-45,0,45,No Loan
5001782,-5,0,5,Paid
5001783,-19,0,19,Paid
5001784,-13,0,13,Paid
5001785,-13,0,13,No Loan
5001786,-58,0,58,Paid
5001787,-17,-1,16,No Loan
5001788,-17,-1,16,No Loan
5001789,-32,0,32,No Loan
5001790,-19,0,19,No Loan
5001791,-23,0,23,No Loan
5001792,-24,0,24,Paid
5001793,-26,0,26,Paid
5001794,-35,0,35,Paid
5001795,-37,0,37,No Loan
5001796,-40,0,40,No Loan
5001798,-57,0,57,Paid
5001800,-3,0,3,Paid
5001803,-46,0,46,No Loan
5001804,-9,0,9,Paid
5001805,-22,0,22,Paid
5001806,-34,0,34,Paid
5001807,-47,0,47,Paid
5001808,-56,0,56,Paid
5001812,-22,0,22,Paid
5001813,-11,0,11,No Loan
5001816,-11,0,11,Paid
5001817,-10,0,10,No Loan
5001818,-57,0,57,No Loan
5001819,-42,0,42,No Loan
5001820,-11,0,11,Paid
5001821,-8,0,8,No Loan
5001823,-7,0,7,Paid
5001824,-37,-1,36,Paid
5001825,-3,0,3,Paid
5001827,-53,0,53,No Loan
5001828,-8,0,8,Paid
5001829,-27,0,27,Paid
5001830,-9,0,9,Paid
5001831,-22,0,22,Paid
5001832,-27,0,27,Paid
5001833,-32,0,32,Paid
5001836,-37,0,37,No Loan
5001837,-57,0,57,Paid
5001838,-38,0,38,Paid
5001839,-15,0,15,Paid
5001840,-19,0,19,Paid
5001841,-17,0,17,Paid
5001842,-21,0,21,No Loan
5001843,-27,0,27,No Loan
5001844,-47,0,47,Paid
5001846,-15,0,15,Paid
5001847,-38,0,38,No Loan
5001848,-37,0,37,No Loan
5001849,-8,0,8,Paid
5001850,-10,0,10,Paid
5001851,-11,0,11,Paid
5001852,-14,0,14,Paid
5001853,-16,0,16,Paid
5001854,-18,0,18,Paid
5001855,-22,0,22,Paid
5001856,-29,0,29,Paid
5001857,-37,0,37,No Loan
5001858,-31,0,31,Paid
5001859,-34,-1,33,Paid
5001860,-1,0,1,No Loan
5001861,-32,0,32,No Loan
5001862,-37,0,37,No Loan
5001863,-37,0,37,No Loan
5001864,-37,0,37,No Loan
5001867,-9,0,9,Paid
